,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
465,X1:0.051488,X2:0.46831,X3:0.35235,X4:1.7806,X5:28.587,X6:0.16873,X7:0.065599,X8:1.1283,X9:1.0226,X10:0.5284,X11:0.065599,X12:0.14532,X13:0.038867,X14:0.065599,X15:1567.5,X16:0.23286,X17:2.1354,X18:0.065599,X19:0.023381,X20:12.332,X21:1.1204,X22:0.065406,X23:0.018351,X24:0.21334,X25:0.5284,X26:0.20272,X27:0.23838,X28:1.7955,X29:4.4838,X30:0.1435,X31:0.023381,X32:60.049,X33:6.0783,X34:0.13967,X35:0.065406,X36:2.8224,X37:41.962,X38:0.5453,X39:0.023312,X40:0.24106,X41:0.14144,X42:0.023312,X43:90.407,X44:78.075,X45:0.54316,X46:1.5706,X47:12.61,X48:0.021956,X49:0.007826,X50:1.7163,X51:0.45141,X52:0.16452,X53:2.6927,X54:2.7788,X55:10735,X56:0.022056,X57:0.09744,X58:0.97794,X59:0.031975,X60:29.598,X61:4.675,X62:58.725,X63:6.2154,X64:14.298
466,X1:-0.14367,X2:1.0853,X3:-0.52453,X4:0.51669,X5:-247.18,,X7:-0.14367,X8:-0.078449,X9:0.6505,X10:-0.085139,X11:-0.044036,X12:-0.13238,X13:-0.21654,X14:-0.14367,X15:-2812.2,X16:-0.12979,X17:0.92142,X18:-0.14367,X19:-0.22086,,,X22:-0.11585,X23:-0.22086,X24:-0.14367,X25:-0.087926,X26:-0.12979,X27:-1.1628,X28:-1.1938,X29:3.2538,X30:1.5158,X31:-0.17795,X32:516.84,X33:0.70621,X34:0.70621,X35:-0.11585,X36:0.72232,,X38:-0.085139,X39:-0.1781,X40:0.091253,X41:-0.32002,X42:-0.1781,X43:259.07,X44:259.07,,X46:0.091253,,X48:-0.11866,X49:-0.18242,X50:0.51669,X51:1.0853,X52:1.416,X53:-0.19377,X54:-0.19377,X55:-941,X56:-0.17823,X57:1.6874,X58:1.0611,,,X61:1.4089,X62:608.96,X63:0.59938,X64:1.4805
467,X1:0.028692,X2:0.11273,X3:0.27093,X4:5.024,X5:929.28,,X7:0.035151,X8:7.8704,X9:0.1206,X10:0.88727,X11:0.036904,X12:0.52208,X13:0.63391,X14:0.035151,X15:538.24,X16:0.67813,X17:8.8704,X18:0.035151,X19:0.29147,,X21:1.0637,X22:-0.00697,X23:0.23791,X24:0.051351,X25:0.78051,X26:0.62083,X27:-3.9751,X28:0.40942,X29:4.6853,X30:-0.98476,X31:0.30592,X32:176.18,X33:2.0717,X34:1.2373,X35:-0.018891,X36:0.1206,X37:8.15,X38:0.92877,X39:-0.15664,X40:3.6976,X41:0.10947,X42:-0.057798,X43:270.27,X44:270.27,,X46:5.024,,X48:-0.048268,X49:-0.40024,X50:3.0005,X51:0.067329,X52:0.48268,X53:1.3408,X54:1.4035,X55:13125,X56:-0.15664,X57:0.032337,X58:0.81531,X59:0.046777,,X61:1.3505,X62:203.78,X63:1.7912,X64:0.18224
468,X1:0.096522,X2:0.48723,X3:0.4232,X4:2.1642,X5:120.73,X6:-0.041639,X7:0.10644,X8:1.0524,X9:1.2173,X10:0.51277,X11:0.1599,X12:0.29279,X13:0.11358,X14:0.10644,X15:1286.3,X16:0.28377,X17:2.0524,X18:0.10644,X19:0.087436,X20:20.512,X21:1.0095,X22:0.15307,X23:0.079292,X24:0.2515,X25:0.35773,X26:0.26342,X27:2.8631,X28:1.9843,X29:3.8149,X30:0.29172,X31:0.11018,X32:122.5,X33:3.015,X34:2.2495,X35:0.13415,X36:1.2173,X37:7.1024,X38:0.61391,X39:0.1102,X40:0.36951,X41:0.087838,X42:0.12575,X43:195.62,X44:175.11,X45:1.411,X46:1.976,X47:22.781,X48:0.12125,X49:0.099607,X50:1.6147,X51:0.36352,X52:0.33167,X53:2.4043,X54:2.8784,X55:2.1642,X56:0.1102,X57:0.18824,X58:0.91525,X59:0.19723,X60:17.795,X61:2.0845,X62:109,X63:3.3486,X64:5.7076
469,X1:0.79687,X2:0.15512,X3:0.73538,X4:5.7408,X5:143.6,,X7:0.98467,X8:5.4467,X9:2.8208,X10:0.84488,X11:0.98607,X12:6.3479,X13:0.356,X14:0.98467,X15:56.38,X16:6.4739,X17:6.4468,X18:0.98467,X19:0.34908,,X21:1.4398,X22:0.98582,X23:0.2825,X24:2.0379,X25:0.81602,X26:5.2632,X27:703.14,X28:6.7156,X29:3.2387,X30:-0.1167,X31:0.34957,X32:30.83,X33:11.839,X34:11.839,X35:0.98434,X36:2.8208,,X38:0.84488,X39:0.34896,X40:3.1907,X41:0.005143,X42:0.34949,X43:51.185,X44:51.185,,X46:5.7408,,X48:0.96628,X49:0.34256,X50:5.7408,X51:0.15512,X52:0.084466,X53:7.7156,X54:7.7156,X55:1274,X56:0.34896,X57:0.94317,X58:0.65199,,,X61:7.131,X62:20.072,X63:18.185,X64:25.76
470,X1:0.031217,X2:0.42147,X3:0.32804,X4:1.9053,X5:38.448,,X7:0.045924,X8:1.3727,X9:2.6698,X10:0.57853,X11:0.071928,X12:0.12673,X13:0.040648,X14:0.045924,X15:1417.5,X16:0.25749,X17:2.3727,X18:0.045924,X19:0.017201,X20:7.7809,X21:0.78127,X22:0.071891,X23:0.011693,X24:0.2691,X25:0.55159,X26:0.22259,X27:2.7646,X28:1.0596,X29:3.3477,X30:0.13887,X31:0.025719,X32:50.848,X33:7.1783,X34:6.1718,X35:0.068594,X36:2.6698,X37:10.72,X38:0.63763,X39:0.025692,X40:0.1399,X41:0.10446,X42:0.026927,X43:87.458,X44:79.677,X45:0.5485,X46:1.7482,X47:7.9861,X48:0.009293,X49:0.003481,X50:1.6381,X51:0.36237,X52:0.13931,X53:1.8687,X54:2.0596,X55:730.48,X56:0.025692,X57:0.05396,X58:0.98282,X59:0.10214,X60:46.909,X61:4.581,X62:49.541,X63:7.3676,X64:8.6237
471,X1:-0.25214,X2:0.8703,X3:0.068475,X4:1.0923,X5:4.5323,,X7:-0.25214,X8:0.14887,X9:1.3904,X10:0.12956,X11:-0.21816,X12:-0.33996,X13:-0.16915,X14:-0.25214,X15:-1350.6,X16:-0.27025,X17:1.149,X18:-0.25214,X19:-0.18134,X20:10.98,X21:0.69031,X22:-0.23387,X23:-0.18134,X24:-0.23835,X25:0.12868,X26:-0.27025,X27:-6.8826,X28:0.36077,X29:3.571,X30:0.62408,X31:-0.18134,X32:173.55,X33:2.1946,X34:1.8703,X35:-0.16945,X36:1.4096,X37:8.5769,X38:0.21914,X39:-0.12187,X40:0.012035,X41:-0.13373,X42:-0.1682,X43:210.33,X44:199.35,X45:-6.0282,X46:0.068429,X47:9.3791,X48:-0.25081,X49:-0.18038,X50:0.93089,X51:0.74168,X52:0.45565,X53:0.68262,X54:1.1546,X55:255,X56:-0.12186,X57:-1.9461,X58:1.1548,X59:0.69141,X60:33.243,X61:1.831,X62:194.69,X63:1.8747,X64:7.3258
472,X1:0.12504,X2:0.3544,X3:0.31419,X4:2.7127,X5:17.942,X6:0.30575,X7:0.15843,X8:1.8217,X9:1.2362,X10:0.6456,X11:0.15843,X12:0.86364,X13:0.16079,X14:0.15843,X15:718.98,X16:0.50766,X17:2.8217,X18:0.15843,X19:0.14159,X20:76.461,X21:1.2607,X22:0.18736,X23:0.11175,X24:0.3773,X25:0.6456,X26:0.41343,X27:2.0699,X28:0.62544,X29:4.9928,X30:0.2874,X31:0.14159,X32:73.977,X33:4.9339,X34:0.52866,X35:0.18736,X36:1.1189,X37:1.5399,X38:0.81655,X39:0.16744,X40:0.37381,X41:0.055792,X42:0.16744,X43:139.96,X44:63.502,X45:0.53345,X46:1.435,X47:94.523,X48:0.16588,X49:0.14824,X50:1.4042,X51:0.18345,X52:0.20268,X53:1.2851,X54:1.6254,X55:30900,X56:0.19109,X57:0.19368,X58:0.80891,X59:0.26479,X60:4.7737,X61:5.7479,X62:59.841,X63:6.0995,X64:2.2274
473,X1:0.084972,X2:0.57417,X3:0.059206,X4:1.1554,X5:-65.651,X6:0.19461,X7:0.083631,X8:0.71638,X9:1.1849,X10:0.41133,X11:0.083631,X12:0.21958,X13:0.13845,X14:0.083631,X15:1618.4,X16:0.22553,X17:1.7416,X18:0.083631,X19:0.089416,X20:74.991,X21:1.4377,X22:0.12322,X23:0.09085,X24:0.20278,X25:0.41133,X26:0.22787,X27:1.561,X28:0.10574,X29:5.3137,X30:0.60374,X31:0.089416,X32:176.11,X33:2.0726,X34:0.21461,X35:0.12322,X36:0.93597,X37:1.2825,X38:0.60463,X39:0.13174,X40:0.031823,X41:0.11164,X42:0.13174,X43:167.01,X44:92.017,X45:0.44219,X46:0.65091,X47:88.854,X48:0.077359,X49:0.08271,X50:0.76645,X51:0.38087,X52:0.48249,X53:0.73461,X54:1.0798,X55:12192,X56:0.15602,X57:0.20658,X58:0.84398,X59:0.46995,X60:4.8672,X61:3.9667,X62:148.63,X63:2.4557,X64:1.6704
474,X1:-0.13238,X2:0.51379,X3:-0.064507,X4:0.84966,X5:-225.33,,X7:-0.13238,X8:0.9463,X9:0.99956,X10:0.48621,X11:-0.12406,X12:-0.30851,X13:0.026971,X14:-0.13238,X15:6956.3,X16:0.052471,X17:1.9463,X18:-0.13238,X19:-0.13244,X20:92.726,X21:0.95254,,X23:-0.13244,X24:-0.16293,X25:0.30146,X26:0.052471,,X28:-0.10152,X29:4.4955,X30:0.51255,X31:-0.26782,X32:222.58,X33:1.6399,X34:1.3695,X35:0.033527,X36:0.99956,X37:2.2805,X38:0.53472,X39:0.033542,X40:0.055294,X41:0.10749,,X43:124.47,X44:31.741,X45:-0.52131,X46:0.25787,X47:131.72,X48:-0.15934,X49:-0.15941,X50:0.70958,X51:0.42908,X52:0.60981,X53:0.76517,X54:0.84153,X55:-2018.9,X56:0.29605,X57:-0.27226,X58:0.71294,X59:0.099789,X60:3.9363,X61:11.499,X62:156.69,X63:2.3295,X64:1.5731
475,X1:0.20469,X2:0.54468,X3:0.63139,X4:5.0298,X5:119.95,X6:0.00878,X7:0.2975,X8:0.83595,X9:1.6202,X10:0.45532,X11:0.29807,X12:1.8988,X13:0.19676,X14:0.2975,X15:623.64,X16:0.58527,X17:1.8359,X18:0.2975,X19:0.18362,X20:48.343,X21:1.045,X22:0.25836,X23:0.12634,X24:0.65095,X25:0.29733,X26:0.41486,X27:453.24,X28:2.9792,X29:4.764,X30:0.10064,X31:0.18398,X32:46.764,X33:7.8052,X34:2.2452,X35:0.39726,X36:1.6202,,X38:0.45532,X39:0.2452,X40:2.5404,X41:0.064926,X42:0.15946,X43:87.868,X44:39.525,X45:0.95387,X46:3.6602,X47:64.047,X48:0.23708,X49:0.14633,X50:1.4469,X51:0.15668,X52:0.12812,X53:2.1484,X54:2.1484,X55:36666,X56:0.2452,X57:0.44954,X58:0.82209,,X60:7.5503,X61:9.2346,X62:35.298,X63:10.341,X64:7.6448
476,X1:0.069809,X2:0.2789,X3:-0.20134,X4:0.27568,X5:-284.96,X6:0.22795,X7:0.087269,X8:2.2451,X9:1.2678,X10:0.62616,X11:0.087269,X12:0.31394,X13:0.37694,X14:0.087269,X15:574.25,X16:0.63562,X17:3.5855,X18:0.087269,X19:0.18556,X20:15.868,X21:1.0083,X22:0.09327,X23:0.14844,X24:0.28368,X25:0.62616,X26:0.57301,X27:2.5144,X28:-0.21805,X29:5.9799,X30:0.58326,X31:0.18556,X32:273.52,X33:1.3345,X34:0.33442,X35:0.09327,X36:0.47591,X37:60.753,X38:0.62708,X39:0.19832,X40:0.018681,X41:0.05003,X42:0.19832,X43:55.444,X44:39.577,X45:3.4144,X46:0.20213,X47:20.117,X48:0.003265,X49:0.006942,X50:0.27477,X51:0.27798,X52:0.74936,X53:0.67812,X54:0.67912,X55:-192230,X56:0.21124,X57:0.11149,X58:0.78876,X59:0.001477,X60:23.003,X61:9.2225,X62:215.74,X63:1.6919,X64:0.50933
477,X1:0.080991,X2:0.31209,X3:0.54395,X4:2.7429,X5:-5.9416,,X7:0.10315,X8:2.2042,X9:1.6323,X10:0.68791,X11:0.12798,X12:0.33052,X13:0.082814,X14:0.10315,X15:842.72,X16:0.43312,X17:3.2042,X18:0.10315,X19:0.063197,X20:115.55,X21:1.0393,X22:0.12798,X23:0.049619,X24:0.39328,X25:0.67576,X26:0.36211,X27:5.1552,X28:3.7785,X29:3.6143,X30:0.13369,X31:0.063293,X32:75.644,X33:4.8252,X34:4.8252,X35:0.12633,X36:1.6323,,X38:0.68791,X39:0.077395,X40:0.46595,X41:0.06502,X42:0.078406,X43:158.91,X44:43.356,X45:0.15674,X46:1.0872,X47:125.24,X48:0.095958,X49:0.058789,X50:2.7429,X51:0.31209,X52:0.20724,X53:4.7785,X54:4.7785,X55:2238.1,X56:0.077395,X57:0.11774,X58:0.93693,,X60:3.1588,X61:8.4186,X62:69.789,X63:5.23,X64:11.338
478,X1:0.000639,X2:0.52992,X3:0.24332,X4:1.477,X5:-42.749,,X7:0.001551,X8:0.88707,X9:1.8121,X10:0.47008,X11:0.082183,X12:0.003041,X13:0.014945,X14:0.001551,X15:7142.3,X16:0.051104,X17:1.8871,X18:0.001551,X19:0.000856,X20:90.561,X21:1.1046,X22:0.049484,X23:0.000353,X24:0.02963,X25:0.44445,X26:0.049382,X27:0.6137,X28:0.98695,X29:3.2902,X30:0.2899,X31:0.015321,X32:105.64,X33:3.4551,X34:3.3261,X35:0.049484,X36:1.8121,X37:15.361,X38:0.48986,X39:0.027308,X40:0.009033,X41:0.23548,X42:0.027308,X43:150.84,X44:60.28,X45:0.001421,X46:0.59566,X47:93.104,X48:0.023954,X49:0.013219,X50:1.4218,X51:0.51014,X52:0.28943,X53:1.9067,X54:1.987,X55:474.65,X56:0.027308,X57:0.001359,X58:0.99916,X59:0.042083,X60:4.0304,X61:6.0551,X62:102.76,X63:3.5521,X64:7.35
479,X1:0.146,X2:0.58399,X3:0.15268,X4:1.2675,X5:-42.704,X6:-0.14738,X7:0.1834,X8:0.71235,X9:2.3976,X10:0.41601,X11:0.33852,X12:0.32138,X13:0.07751,X14:0.1834,X15:1147,X16:0.31822,X17:1.7124,X18:0.1834,X19:0.076493,X20:61.76,X21:1.1316,X22:0.19636,X23:0.060893,X24:0.31539,X25:-0.00003,X26:0.25417,X27:1.2659,X28:0.55188,X29:3.5798,X30:0.2429,X31:0.081221,X32:94.743,X33:3.8525,X34:3.7646,X35:0.19909,X36:2.3976,,X38:0.41601,X39:0.083037,X40:0.015962,X41:0.09792,X42:0.081899,X43:108.73,X44:46.972,X45:0.35987,X46:0.55664,X47:67.353,X48:0.19392,X49:0.080882,X50:1.2386,X51:0.57067,X52:0.25957,X53:1.5037,X54:1.5037,X55:580.2,X56:0.083037,X57:0.35095,X58:0.92781,,X60:5.9099,X61:7.7706,X62:86.876,X63:4.2014,X64:8.6666
480,X1:0.10333,X2:0.37665,X3:-0.009467,X4:0.96586,X5:-52.131,,X7:0.12242,X8:1.655,X9:1.115,X10:0.62335,X11:0.1413,X12:0.44146,X13:0.16902,X14:0.12242,X15:729.48,X16:0.50035,X17:2.655,X18:0.12242,X19:0.10979,X20:37.97,X21:1.3562,X22:0.13542,X23:0.092676,X24:-0.041929,X25:0.59399,X26:0.44969,X27:7.172,X28:-0.012929,X29:3.7318,X30:0.3378,X31:0.12633,X32:105.2,X33:3.4695,X34:2.5543,X35:0.15291,X36:1.115,X37:1.5283,X38:0.7227,X39:0.13714,X40:0.015496,X41:0.06232,X42:0.12145,X43:86.269,X44:48.299,X45:0.89087,X46:0.54757,X47:44.005,X48:0.069378,X49:0.062222,X50:0.71109,X51:0.2773,X52:0.28822,X53:0.85137,X54:0.98707,X55:-51.053,X56:0.13714,X57:0.16577,X58:0.89229,X59:0.15939,X60:9.6128,X61:7.5571,X62:90.775,X63:4.0209,X64:1.5229
481,X1:0.16615,X2:0.37404,X3:0.32511,X4:1.9081,X5:40.164,X6:0.32569,X7:0.20521,X8:1.5886,X9:1.1216,X10:0.59418,X11:0.20521,X12:0.57318,X13:0.1366,X14:0.20521,X15:583.14,X16:0.62592,X17:2.6735,X18:0.20521,X19:0.11973,X20:29.476,X21:0.97409,X22:0.20436,X23:0.096941,X24:0.40506,X25:0.59418,X26:0.5215,X27:1.3373,X28:1.026,X29:4.3708,X30:0.14898,X31:0.11973,X32:85.514,X33:4.2683,X34:0.54636,X35:0.20436,X36:1.7517,X37:34.012,X38:0.61019,X39:0.11923,X40:0.3858,X41:0.052717,X42:0.11923,X43:116.06,X44:86.587,X45:1.2004,X46:1.5215,X47:33.06,X48:0.17545,X49:0.10237,X50:1.8264,X51:0.35802,X52:0.23429,X53:1.8751,X54:1.9257,X55:7635.5,X56:0.10841,X57:0.27963,X58:0.89159,X59:0.026954,X60:12.383,X61:4.2154,X62:76.244,X63:4.7873,X64:5.409
482,X1:0.13675,X2:0.50953,X3:0.055809,X4:1.1362,X5:-50.227,X6:-0.002903,X7:0.1675,X8:0.9626,X9:1.2053,X10:0.49047,X11:0.17723,X12:0.40884,X13:0.16251,X14:0.1675,X15:949.47,X16:0.38442,X17:1.9626,X18:0.1675,X19:0.13897,X20:59.022,X21:1.5448,X22:0.17525,X23:0.11346,X24:0.38963,X25:0.45973,X26:0.32407,X27:18.002,X28:0.10441,X29:4.2564,X30:0.36562,X31:0.14582,X32:145.08,X33:2.5644,X34:2.062,X35:0.17454,X36:1.2053,X37:5.2296,X38:0.54222,X39:0.14481,X40:0.1699,X41:0.083411,X42:0.1454,X43:119.89,X44:60.867,X45:0.70163,X46:0.6605,X47:67.71,X48:0.14687,X49:0.12185,X50:0.9136,X51:0.4097,X52:0.38995,X53:0.91763,X54:1.0144,X55:1.1362,X56:0.14481,X57:0.27881,X58:0.86359,X59:0.1055,X60:6.1842,X61:5.9967,X62:124.07,X63:2.942,X64:2.2551
483,X1:0.18426,X2:0.10366,X3:0.8115,X4:8.8282,X5:124.13,,X7:0.18426,X8:8.6466,X9:1.5952,X10:0.89634,X11:0.20668,X12:1.7775,X13:0.13189,X14:0.18426,X15:179.84,X16:2.0296,X17:9.6466,X18:0.18426,X19:0.11551,X20:52.765,X21:1.0635,X22:0.20291,X23:0.11551,X24:0.37402,X25:0.63488,X26:2.0296,X27:9.0504,X28:9.5651,X29:3.4254,X30:0.064983,X31:0.11564,X32:26.642,X33:13.7,X34:13.7,X35:0.175,X36:1.5952,,X38:0.89634,X39:0.1097,X40:0.96672,X41:0.015086,X42:0.1272,X43:186.47,X44:133.7,X45:0.799,X46:6.6036,X47:59.267,X48:0.17677,X49:0.11081,X50:8.8282,X51:0.10366,X52:0.072991,X53:10.565,X54:10.565,X55:2161,X56:0.1097,X57:0.20557,X58:0.88704,,X60:6.9175,X61:2.73,X62:23.719,X63:15.389,X64:18.803
484,X1:0.11475,X2:0.10511,X3:0.40016,X4:5.2594,X5:67.858,X6:-0.65845,X7:0.11475,X8:8.5138,X9:1.7101,X10:0.89489,X11:0.12196,X12:1.2214,X13:0.17175,X14:0.11475,X15:130.63,X16:2.7942,X17:9.5138,X18:0.11475,X19:0.067101,X20:11.933,X21:1.0497,X22:0.12092,X23:0.067101,X24:0.36014,X25:-0.64655,X26:2.7942,X27:16.763,X28:0.79099,X29:3.4601,X30:0.061465,X31:0.07132,X32:21.52,X33:16.961,X34:15.16,X35:0.11665,X36:1.7101,X37:39.257,X38:0.90605,X39:0.068211,X40:0.82628,X41:0.011684,X42:0.070711,X43:88.893,X44:76.96,X45:2.0525,X46:4.6643,X47:12.806,X48:-0.058029,X49:-0.033933,X50:4.7008,X51:0.093948,X52:0.058959,X53:1.7689,X54:1.791,X55:1154.3,X56:0.068211,X57:0.12823,X58:0.93311,X59:0.012473,X60:30.588,X61:4.7427,X62:20.052,X63:18.202,X64:3.3803
485,X1:0.085255,X2:0.2113,X3:0.46189,X4:3.1859,X5:63.047,X6:0.2514,X7:0.10589,X8:2.912,X9:1.0959,X10:0.61531,X11:0.10589,X12:0.50113,X13:0.11253,X14:0.10589,X15:598.39,X16:0.60997,X17:4.7325,X18:0.10589,X19:0.092452,X20:88.054,X21:1.2258,X22:0.09639,X23:0.074435,X24:0.3092,X25:0.61531,X26:0.51231,X27:0.92226,X28:1.4134,X29:4.3617,X30:-0.12499,X31:0.092452,X32:73.794,X33:4.9462,X34:0.45616,X35:0.09639,X36:1.1801,,X38:0.61531,X39:0.084157,X40:1.7086,X41:0.058188,X42:0.084157,X43:99.479,X44:11.424,X45:0.30855,X46:1.8783,X47:96.497,X48:0.07339,X49:0.064077,X50:3.1859,X51:0.2113,X52:0.20218,X53:1.8828,X54:1.8828,X55:10622,X56:0.087489,X57:0.13855,X58:0.91251,,X60:4.1452,X61:31.95,X62:67.338,X63:5.4204,X64:3.5047
486,X1:0.040433,X2:0.6303,X3:0.20885,X4:1.4515,X5:-22.808,,X7:0.050217,X8:0.58655,X9:1.9625,X10:0.3697,X11:0.068523,X12:0.10857,X13:0.043477,X14:0.050217,X15:2696.3,X16:0.13537,X17:1.5866,X18:0.050217,X19:0.025588,X20:60.587,X21:1.1834,X22:0.066764,X23:0.020603,X24:0.17976,X25:0.34833,X26:0.11985,X27:3.6471,X28:0.63556,X29:4.2142,X30:0.31534,X31:0.031744,X32:87.722,X33:4.1609,X34:3.0534,X35:0.037945,X36:1.9625,X37:2.1816,X38:0.52813,X39:0.019335,X40:0.030764,X41:0.20624,X42:0.03402,X43:122.22,X44:61.637,X45:0.12412,X46:0.74725,X47:61.781,X48:0.031656,X49:0.01613,X50:1.0652,X51:0.46254,X52:0.24033,X53:1.1251,X54:1.6072,X55:3420.2,X56:0.019335,X57:0.10937,X58:0.97523,X59:0.42854,X60:6.0244,X61:5.9218,X62:86.026,X63:4.2429,X64:5.9722
487,X1:0.018607,X2:0.7929,X3:0.19254,X4:1.2822,X5:19.762,X6:0.053795,X7:0.022002,X8:0.006154,X9:1.0077,X10:0.004879,X11:0.022002,X12:0.032249,X13:0.013608,X14:0.022002,X15:7991.5,X16:0.045673,X17:1.2612,X18:0.022002,X19:0.008267,X20:6.5508,X21:0.68592,X22:0.027165,X23:0.006992,X24:0.065769,X25:0.004879,X26:0.041392,X27:0.10286,X28:1.5378,X29:4.354,X30:0.19938,X31:0.008267,X32:94.295,X33:3.8708,X34:0.034261,X35:0.027165,X36:2.6747,X37:7.4748,X38:0.11552,X39:0.010207,X40:0.3853,X41:0.63,X42:0.010207,X43:83.925,X44:77.374,X45:0.38957,X46:1.2122,X47:6.6015,X48:0.012953,X49:0.004867,X50:1.1033,X51:0.68226,X52:0.25834,X53:0.03897,X54:0.92264,X55:4350.5,X56:0.007673,X57:3.8135,X58:0.99233,X59:22.676,X60:55.718,X61:4.7173,X62:93.572,X63:3.9007,X64:21.255
488,X1:0.06158,X2:0.50412,X3:0.12807,X4:1.4578,X5:-8.1398,,X7:0.077346,X8:0.98365,X9:1.5681,X10:0.49588,X11:0.082228,X12:0.27646,X13:0.069586,X14:0.077346,X15:1686.2,X16:0.21646,X17:1.9837,X18:0.077346,X19:0.049323,X20:37.158,X21:0.93335,X22:0.076317,X23:0.039269,X24:0.25697,X25:0.48359,X26:0.18518,X27:15.632,X28:0.21627,X29:4.1319,X30:0.30285,X31:0.051855,X32:66.278,X33:5.5071,X34:3.0563,X35:0.027421,X36:1.5681,X37:1.1081,X38:0.71985,X39:0.017486,X40:0.11349,X41:0.15546,X42:0.048667,X43:87.538,X44:50.38,X45:0.38574,X46:0.88715,X47:37.819,X48:0.044543,X49:0.028405,X50:0.80901,X51:0.27977,X52:0.18158,X53:0.8374,X54:1.2156,X55:1735.1,X56:0.017486,X57:0.12418,X58:0.95243,X59:0.45167,X60:9.823,X61:7.2449,X62:65.119,X63:5.6051,X64:2.6482
489,X1:0.056857,X2:0.25191,X3:0.34045,X4:2.8701,X5:3.9122,X6:0.17264,X7:0.073288,X8:2.7603,X9:1.0914,X10:0.69534,X11:0.073288,X12:0.40258,X13:0.13731,X14:0.073288,X15:608.51,X16:0.59983,X17:3.9697,X18:0.073288,X19:0.066598,X20:95.641,X21:1.2351,X22:0.08568,X23:0.051666,X24:0.21374,X25:0.69534,X26:0.5346,X27:0.84972,X28:0.71297,X29:4.4484,X30:0.17335,X31:0.066598,X32:65.898,X33:5.5388,X34:0.34013,X35:0.08568,X36:1.1235,X37:3.3517,X38:0.7652,X39:0.077859,X40:0.56647,X41:0.050656,X42:0.077859,X43:139.1,X44:43.455,X45:0.19718,X46:1.2862,X47:104.38,X48:0.007867,X49:0.007149,X50:2.0742,X51:0.18205,X52:0.18054,X53:1.4562,X54:1.6025,X55:9560.3,X56:0.083715,X57:0.081768,X58:0.91629,X59:0.10047,X60:3.8164,X61:8.3994,X62:60.382,X63:6.0449,X64:2.3046
490,,X2:0.61337,X3:-0.013916,X4:0.92623,X5:-74.846,X6:0.36572,X7:0.005923,X8:0.63034,X9:0.60909,X10:0.38663,X11:0.005923,X12:0.031397,X13:0.009724,X14:0.005923,X15:37801,X16:0.009656,X17:1.6303,X18:0.005923,X19:0.009724,X20:52.703,X21:1.082,,,X24:0.12903,X25:0.37695,,,X28:-0.016862,X29:5.0142,X30:0.98843,X31:0.020972,X32:140.52,X33:2.5974,X34:0.79879,X35:0.000581,X36:0.60909,X37:0.2059,X38:0.80804,X39:0.000953,X40:0.060025,,,X43:97.913,X44:45.21,,X46:0.45998,X47:65.518,,,X50:0.28484,X51:0.18863,X52:0.385,X53:0.46848,X54:0.9791,X55:-1438,X56:0.1956,,X58:0.80858,X59:1.09,X60:6.9256,X61:8.0734,X62:113.04,X63:3.229,X64:0.73804
491,X1:-0.29909,X2:0.21364,X3:0.29599,X4:2.6941,X5:11.36,,X7:-0.29909,X8:3.6807,X9:2.9422,X10:0.78636,X11:-0.29898,X12:-1.7118,X13:-0.092196,X14:-0.29909,X15:-287.47,X16:-1.2697,X17:4.6807,X18:-0.29909,X19:-0.10165,X20:22.528,X21:1.121,X22:-0.29925,X23:-0.10165,X24:-0.22499,X25:-0.11929,X26:-1.2697,X27:-2805,X28:0.55923,X29:3.0401,X30:0.045943,X31:-0.10162,X32:19.654,X33:18.571,X34:15.188,X35:-0.30248,X36:2.9422,,X38:0.78636,X39:-0.10281,X40:0.5229,X41:-0.026237,X42:-0.10171,X43:47.061,X44:24.533,X45:-1.647,X46:1.6547,X47:20.428,X48:-0.32708,X49:-0.11117,X50:2.2033,X51:0.17472,X52:0.053847,X53:1.4857,X54:1.4857,X55:324.61,X56:-0.10281,X57:-0.38035,X58:1.0892,,X60:16.202,X61:14.878,X62:21.675,X63:16.84,X64:5.5588
